Application_ID,Processing_Days,Review_Cycles,Permit_Type,Department,Applicant_Type,Completeness_Score,Status
PRM001,12,1,Building,Planning,Commercial,95,Approved
PRM002,8,1,Building,Planning,Residential,100,Approved
PRM003,22,3,Building,Planning,Commercial,72,Approved
PRM004,10,1,Electrical,Inspections,Residential,98,Approved
PRM005,18,2,Building,Planning,Commercial,85,Approved
PRM006,6,1,Electrical,Inspections,Residential,100,Approved
PRM007,14,2,Plumbing,Inspections,Commercial,88,Approved
PRM008,28,4,Building,Planning,Commercial,65,Pending
PRM009,9,1,Electrical,Inspections,Residential,97,Approved
PRM010,15,2,Building,Planning,Residential,82,Approved
PRM011,35,5,Building,Planning,Commercial,58,Pending
PRM012,11,1,Plumbing,Inspections,Residential,96,Approved
PRM013,7,1,Electrical,Inspections,Residential,100,Approved
PRM014,20,3,Building,Planning,Commercial,75,Approved
PRM015,13,2,Building,Planning,Residential,90,Approved
PRM016,16,2,Plumbing,Inspections,Commercial,84,Approved
PRM017,25,3,Building,Planning,Commercial,70,Approved
PRM018,8,1,Electrical,Inspections,Residential,99,Approved
PRM019,17,2,Building,Planning,Residential,80,Approved
PRM020,10,1,Plumbing,Inspections,Residential,95,Approved
PRM021,14,2,Building,Planning,Commercial,87,Approved
PRM022,21,3,Building,Planning,Commercial,73,Approved
PRM023,7,1,Electrical,Inspections,Residential,100,Approved
PRM024,15,2,Plumbing,Inspections,Commercial,85,Approved
PRM025,19,2,Building,Planning,Residential,78,Approved
PRM026,11,1,Electrical,Inspections,Residential,96,Approved
PRM027,13,2,Building,Planning,Residential,89,Approved
PRM028,30,4,Building,Planning,Commercial,62,Pending
PRM029,9,1,Plumbing,Inspections,Residential,98,Approved
PRM030,16,2,Building,Planning,Commercial,83,Approved
PRM031,12,1,Electrical,Inspections,Residential,94,Approved
PRM032,18,2,Building,Planning,Residential,79,Approved
PRM033,23,3,Building,Planning,Commercial,71,Approved
PRM034,10,1,Plumbing,Inspections,Residential,97,Approved
PRM035,14,2,Building,Planning,Commercial,86,Approved
PRM036,8,1,Electrical,Inspections,Residential,100,Approved
PRM037,17,2,Plumbing,Inspections,Commercial,81,Approved
PRM038,26,3,Building,Planning,Commercial,68,Approved
PRM039,11,1,Electrical,Inspections,Residential,95,Approved
PRM040,15,2,Building,Planning,Residential,84,Approved
