Date,Processing_Days,Request_Type,Priority,Office,Volume
2024-01-02,4.2,License_Renewal,Standard,Main,45
2024-01-03,3.8,Address_Change,Standard,Main,52
2024-01-04,5.1,New_Application,Priority,Main,38
2024-01-05,4.5,License_Renewal,Standard,Branch,41
2024-01-08,3.9,Address_Change,Standard,Main,48
2024-01-09,4.8,New_Application,Priority,Branch,35
2024-01-10,4.1,License_Renewal,Standard,Main,50
2024-01-11,11.2,Appeal,Priority,Branch,28
2024-01-12,3.7,Address_Change,Standard,Main,55
2024-01-15,4.3,License_Renewal,Standard,Branch,42
2024-01-16,5.5,New_Application,Priority,Main,32
2024-01-17,4.0,Address_Change,Standard,Main,47
2024-01-18,3.6,License_Renewal,Standard,Branch,58
2024-01-19,4.7,New_Application,Priority,Main,40
2024-01-22,4.4,License_Renewal,Standard,Branch,44
2024-01-23,5.8,Appeal,Priority,Main,30
2024-01-24,5.5,Address_Change,Standard,Main,51
2024-01-25,5.6,License_Renewal,Standard,Branch,46
2024-01-26,5.4,New_Application,Standard,Main,39
2024-01-29,5.7,Address_Change,Standard,Branch,53
2024-01-30,5.9,New_Application,Priority,Main,34
2024-01-31,5.5,License_Renewal,Standard,Main,49
2024-02-01,5.8,Address_Change,Standard,Branch,47
2024-02-02,5.6,License_Renewal,Standard,Main,54
2024-02-05,4.9,New_Application,Priority,Branch,36
2024-02-06,4.3,License_Renewal,Standard,Main,43
2024-02-07,3.8,Address_Change,Standard,Main,50
2024-02-08,5.4,Appeal,Priority,Branch,31
2024-02-09,4.0,License_Renewal,Standard,Main,48
2024-02-12,4.5,Address_Change,Standard,Branch,42
2024-02-13,3.9,License_Renewal,Standard,Main,52
2024-02-14,9.8,Appeal,Priority,Main,29
2024-02-15,8.5,Address_Change,Standard,Branch,45
2024-02-16,3.6,License_Renewal,Standard,Main,56
2024-02-19,4.8,New_Application,Standard,Branch,37
2024-02-20,4.1,Address_Change,Standard,Main,49
2024-02-21,3.8,License_Renewal,Standard,Main,51
2024-02-22,5.3,New_Application,Priority,Branch,33
2024-02-23,4.0,Address_Change,Standard,Main,48
2024-02-26,4.4,License_Renewal,Standard,Branch,44
2024-02-27,3.7,Address_Change,Standard,Main,53
2024-02-28,12.5,New_Application,Priority,Main,35
2024-02-29,4.2,License_Renewal,Standard,Branch,46
2024-03-01,3.9,Address_Change,Standard,Main,50
2024-03-04,5.6,Appeal,Priority,Branch,30
2024-03-05,4.1,License_Renewal,Standard,Main,47
2024-03-06,3.8,Address_Change,Standard,Main,52
2024-03-07,4.6,New_Application,Standard,Branch,38
2024-03-08,4.0,License_Renewal,Standard,Main,49
2024-03-11,4.3,Address_Change,Standard,Branch,43
